match_scheme,condition,split,sign,label,q3,n_proteins_with_cases,n_cases,n_matched_cases,match_rate,n_controls_selected,mean_controls_per_matched_case
q3_neq_rsa,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,C,19,22,20,0.9090909090909091,81,4.05
q3_neq_rsa_position,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,C,19,22,15,0.6818181818181818,50,3.3333333333333335
q3_only,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,H,41,49,42,0.8571428571428571,1783,42.45238095238095
q3_neq,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,H,41,49,32,0.6530612244897959,127,3.96875
q3_neq_rsa,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,H,41,49,25,0.5102040816326531,95,3.8
q3_neq_rsa_position,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,H,41,49,20,0.40816326530612246,65,3.25
q3_only,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,H,871,3982,3892,0.9773982923154194,137403,35.30395683453237
q3_neq,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,H,871,3982,3857,0.9686087393269713,18600,4.822400829660358
q3_neq_rsa,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,H,871,3982,3722,0.9347061778001005,16497,4.432294465341214
q3_neq_rsa_position,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,H,871,3982,3071,0.7712204922149674,11206,3.6489742754802994
q3_only,esm2_top4_bilstm_attn,train,1,flexibility_supporting,C,954,5473,5473,1.0,270573,49.43778549241732
q3_neq,esm2_top4_bilstm_attn,train,1,flexibility_supporting,C,954,5473,4858,0.8876301845422986,19839,4.083779333058872
q3_neq_rsa,esm2_top4_bilstm_attn,train,1,flexibility_supporting,C,954,5473,4117,0.7522382605517998,13676,3.3218362885596306
q3_neq_rsa_position,esm2_top4_bilstm_attn,train,1,flexibility_supporting,C,954,5473,2815,0.514343139046227,7351,2.611367673179396
q3_only,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,E,499,1316,1278,0.9711246200607903,35870,28.067292644757433
q3_neq,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,E,499,1316,1267,0.9627659574468085,6166,4.866614048934491
q3_neq_rsa,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,E,499,1316,1239,0.9414893617021277,5810,4.6892655367231635
q3_neq_rsa_position,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,E,499,1316,1019,0.7743161094224924,4002,3.927379784102061
q3_only,esm2_top4_bilstm_attn,train,1,flexibility_supporting,H,160,194,190,0.979381443298969,6837,35.98421052631579
q3_neq,esm2_top4_bilstm_attn,train,1,flexibility_supporting,H,160,194,143,0.7371134020618557,526,3.6783216783216783
q3_neq_rsa,esm2_top4_bilstm_attn,train,1,flexibility_supporting,H,160,194,113,0.5824742268041238,385,3.4070796460176993
q3_neq_rsa_position,esm2_top4_bilstm_attn,train,1,flexibility_supporting,H,160,194,74,0.38144329896907214,232,3.135135135135135
q3_only,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,C,82,93,93,1.0,4813,51.75268817204301
q3_neq,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,C,82,93,92,0.989247311827957,438,4.760869565217392
q3_neq_rsa,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,C,82,93,85,0.9139784946236559,365,4.294117647058823
q3_neq_rsa_position,esm2_top4_bilstm_attn,train,-1,rigidity_supporting,C,82,93,64,0.6881720430107527,232,3.625
q3_only,esm2_top4_bilstm_attn,train,1,flexibility_supporting,E,53,56,54,0.9642857142857143,1547,28.64814814814815
q3_neq,esm2_top4_bilstm_attn,train,1,flexibility_supporting,E,53,56,44,0.7857142857142857,179,4.068181818181818
q3_neq_rsa,esm2_top4_bilstm_attn,train,1,flexibility_supporting,E,53,56,37,0.6607142857142857,122,3.2972972972972974
q3_neq_rsa_position,esm2_top4_bilstm_attn,train,1,flexibility_supporting,E,53,56,32,0.5714285714285714,80,2.5
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,H,184,828,808,0.9758454106280193,29194,36.131188118811885
