condition,split,metric,metric_kind,directional_hypothesis,n_paired_proteins,flex_minus_rigid_mean,flex_minus_rigid_median,sign_flip_null_mean,sign_flip_null_std,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_top4_bilstm_attn,test,distance_to_q8_boundary,distance,lower,203,-3.3409614785295365,-3.357142857142857,0.002141698875836807,0.284819980888676,-11.737600595907805,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,test,rsa,continuous,two-sided,203,0.3778840816867001,0.384364826946209,0.0001543907732646938,0.028131887280472164,13.427100967222973,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,exposed_rsa_ge025,binary,two-sided,203,0.6524934353233551,0.6666666666666667,0.0003937175944500288,0.04933112191363357,13.218830069799917,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,disorder,continuous,upper,203,0.07169250247729783,0.042061157528743426,6.560232854990947e-05,0.007741548201872599,9.252270770777107,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,disorder_ge05,binary,upper,203,0.03649999425861494,0.0,1.1822938965796101e-05,0.008567388719426753,4.258960637202252,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,interface,binary,two-sided,203,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,torsion_change_from_previous,continuous,upper,203,89.14914393389157,86.64903702010857,0.1368276871256184,6.695253885287209,13.294838070647346,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,neq,continuous,flexibility-supporting higher,926,1.0096839146062282,0.9034077380952381,-8.106798388831109e-05,0.03848351960047279,26.23889376733907,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,flexible_neq_gt1,binary,flexibility-supporting higher,926,0.9032506786689432,1.0,0.00028557803377264964,0.030348248051389422,29.75345064750222,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,neq_top10_within_protein,binary,flexibility-supporting higher,926,0.3579420590830385,0.3333333333333333,-3.066366187356161e-05,0.01461773866363806,24.488926158967182,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,neq_peak,binary,flexibility-supporting higher,926,0.21739306862266922,0.2,8.223978180440246e-05,0.010294052331843535,21.11032874474878,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,distance_to_neq_peak,distance,flexibility-supporting lower,926,-6.53619353881337,-6.5,0.005431097826138827,0.23936581583589164,-27.328984357250174,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
