condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_top4_bilstm_attn,1,00_q8_only,test,ok,30994,6826,998,201,0.5,0.5000000000000031,0.5,471,,
esm3_top4_bilstm_attn,1,01_base_biophysics,validation,ok,30994,6657,1011,203,0.8212718161234249,0.80964330892643,0.8290158620525926,478,0.3212718161234249,0.3290158620525926
esm3_top4_bilstm_attn,1,01_base_biophysics,test,ok,30994,6826,998,201,0.8101633857364091,0.7927105836719622,0.8120289071996357,471,0.3101633857364091,0.3120289071996357
esm3_top4_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,validation,ok,30994,6657,1011,203,0.8402177346769322,0.8311536261230401,0.8432639566424994,478,0.018945918553507246,0.014248094589906835
esm3_top4_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,test,ok,30994,6826,998,201,0.8265018367456471,0.8134400258941503,0.8267969205044335,471,0.01633845100923803,0.014768013304797822
esm3_top4_bilstm_attn,1,03_add_experimental_pdb_geometry,validation,ok,30994,6657,1011,203,0.8461767523764129,0.8357281031535644,0.846903976798346,478,0.0059590176994807065,0.003640020155846524
esm3_top4_bilstm_attn,1,03_add_experimental_pdb_geometry,test,ok,30994,6826,998,201,0.8377339151483834,0.8243726222701189,0.8340985803146803,471,0.011232078402736212,0.0073016598102467745
esm3_top4_bilstm_attn,1,04_add_contact_network,validation,ok,30994,6657,1011,203,0.8591682502892792,0.844208879538696,0.8567626004030361,478,0.012991497912866357,0.009858623604690142
esm3_top4_bilstm_attn,1,04_add_contact_network,test,ok,30994,6826,998,201,0.852910888313596,0.8396476316552323,0.8543439985551264,471,0.015176973165212604,0.020245418240446122
esm3_top4_bilstm_attn,1,05_add_ecod_domain,validation,ok,30994,6657,1011,203,0.8613364306817266,0.8451412813380728,0.8600244891920357,478,0.002168180392447372,0.0032618887889995785
esm3_top4_bilstm_attn,1,05_add_ecod_domain,test,ok,30994,6826,998,201,0.8607640593127055,0.8469912742823245,0.8638663719321972,471,0.007853170999109538,0.009522373377070736
